id,centerlat,centerlon,width,height,population,jobs
191,42.36351,-71.10004,22.905449,4.946331,0.94087815,0.17652467
192,42.363647,-71.10004,22.905449,5.083729,1.2017558,0.06474677
193,42.36379,-71.10004,22.905449,4.946331,1.169276,0.062996864
194,42.363926,-71.10004,22.905449,5.083729,1.2017558,0.06474677
195,42.364067,-71.10004,22.905449,4.946331,0.7210513,0.04198633
196,42.364204,-71.10004,22.905449,4.946331,2.07701,0.05079657
197,42.364346,-71.10004,22.905449,5.083729,3.1960273,0.060207497
198,42.361427,-71.09983,23.7538,4.9463863,0.0,0.05879147
199,42.361565,-71.09983,23.7538,4.9463863,0.0,0.032928288
200,42.361706,-71.09983,23.7538,5.0837855,0.0,0.027345233
201,42.361843,-71.09983,23.7538,4.9463863,0.0,0.026606176
202,42.361984,-71.09983,23.7538,5.0837855,0.0,0.027345233
203,42.36212,-71.09983,23.7538,4.9463863,0.0,0.07493546
204,42.36226,-71.09983,23.7538,5.0837855,0.0,0.1116367
205,42.3624,-71.09983,23.7538,4.9463863,0.13446893,0.09829386
206,42.362537,-71.09983,23.7538,4.9463863,0.7147385,0.11271575
207,42.36268,-71.09983,23.7538,5.0837855,1.4577534,0.14022297
208,42.362816,-71.09983,23.7538,4.9463863,1.4183547,0.13643315
209,42.362953,-71.09983,23.7538,5.0837855,1.4577534,0.09506683
210,42.363094,-71.09983,23.7538,4.9463863,1.4183547,0.054419838
211,42.36323,-71.09983,23.7538,4.9463863,1.4183547,0.39766666
212,42.363373,-71.09983,23.7538,5.0837855,2.9472425,0.7163241
213,42.36351,-71.09983,23.7538,4.9463863,4.7108707,0.38966292
214,42.363647,-71.09983,23.7538,5.0837855,4.998332,0.21332943
215,42.36379,-71.09983,23.7538,4.9463863,4.9646487,0.21151468
216,42.363926,-71.09983,23.7538,5.0837855,4.998332,0.21332943
217,42.364067,-71.09983,23.7538,4.9463863,4.49849,0.18966348
218,42.364204,-71.09983,23.7538,4.9463863,2.4374156,0.065342076
219,42.364346,-71.09983,23.7538,5.0837855,3.3144355,0.062438104
220,42.361427,-71.099625,22.905449,4.946438,1.12961,0.089916185
221,42.361565,-71.099625,22.905449,4.946438,2.5416222,0.106731996
222,42.361706,-71.099625,22.905449,5.083839,2.5416222,0.10112249
223,42.361843,-71.099625,22.905449,4.946438,2.5416222,0.10040982
224,42.361984,-71.099625,22.905449,5.083839,2.5416222,0.10112249
225,42.36212,-71.099625,22.905449,4.946438,2.5416222,0.14873959
226,42.36226,-71.099625,22.905449,5.083839,2.5416222,0.1824044
227,42.3624,-71.099625,22.905449,4.946438,2.831318,0.1773956
228,42.362537,-71.099625,22.905449,4.946438,3.79725,0.2098953
229,42.36268,-71.099625,22.905449,5.083839,2.5158749,0.17739227
230,42.362816,-71.099625,22.905449,4.946438,1.9265248,0.1577562
231,42.362953,-71.099625,22.905449,5.083839,1.9510698,0.118634194
232,42.363094,-71.099625,22.905449,4.946438,1.9265248,0.078671105
233,42.36323,-71.099625,22.905449,4.946438,1.9265248,0.078671105
