shapeid,x,y,transit
318,-71.10627052,42.37830855,yes
319,-71.12383865,42.37840251,yes
320,-71.10650987,42.37838852,yes
321,-71.14736385,42.37857073,yes
322,-71.06794288,42.3783089,yes
323,-71.09267223,42.3785635,yes
324,-71.12440761,42.37871014,yes
325,-71.14844425,42.37893159,yes
326,-71.10418532,42.37878829,yes
327,-71.14854212,42.37894698,yes
328,-71.10389738,42.3788679,yes
329,-71.09426504,42.37886197,yes
330,-71.09618521,42.37894109,yes
331,-71.10268645,42.37918165,yes
332,-71.12562137,42.37936661,yes
333,-71.10014542,42.37936205,yes
334,-71.10154891,42.37938415,yes
335,-71.10030544,42.37938356,yes
336,-71.1258108,42.3794703,yes
337,-71.10779311,42.37943865,yes
338,-71.09785557,42.37949017,yes
339,-71.09229607,42.37947302,yes
340,-71.0928763,42.37948451,yes
341,-71.09519403,42.37949691,yes
342,-71.06352141,42.37938415,yes
343,-71.09532988,42.37955406,yes
344,-71.09688281,42.37958522,yes
345,-71.09131567,42.37964874,yes
346,-71.08996822,42.37987081,yes
347,-71.15253799,42.38009459,yes
348,-71.15261003,42.38012425,yes
349,-71.06459015,42.37991908,yes
350,-71.09666717,42.38003966,yes
351,-71.1437071,42.38021081,yes
352,-71.1086041,42.38010095,yes
353,-71.14362482,42.380228,yes
354,-71.0696847,42.38000726,yes
355,-71.09014389,42.38013691,yes
356,-71.12739293,42.38034524,yes
357,-71.09665928,42.38024746,yes
358,-71.06984121,42.38016322,yes
359,-71.10851479,42.38032499,yes
360,-71.06522837,42.38024224,yes
361,-71.08999684,42.38033902,yes
362,-71.14146596,42.38065003,yes
363,-71.14138233,42.38066651,yes
364,-71.08875006,42.38061082,yes
365,-71.14021487,42.38089414,yes
366,-71.14013086,42.3809105,yes
367,-71.10532225,42.38906019,yes
368,-71.09705736,42.38903827,yes
369,-71.09720407,42.38917669,yes
370,-71.11984285,42.38929039,yes
371,-71.08729626,42.38937108,yes
372,-71.08765527,42.3893792,yes
373,-71.14792952,42.38958185,yes
374,-71.11687565,42.38948612,yes
375,-71.14830274,42.38967395,yes
376,-71.11724884,42.38988611,yes
377,-71.08859441,42.38979492,yes
378,-71.12067014,42.38997274,yes
379,-71.15051867,42.39007986,yes
380,-71.15075305,42.3901189,yes
381,-71.09804528,42.38997841,yes
